variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,5.32821,25.795,
A,64,64,32,2,4,1,5.35668,25.657,
A,64,64,32,2,8,1,5.30863,25.890,
A,64,64,32,4,2,1,3.69722,37.174,
A,64,64,32,4,4,1,3.63908,37.767,
A,64,64,32,4,8,1,3.55149,38.699,
A,64,64,32,8,2,1,3.10892,44.208,
A,64,64,32,8,4,1,3.01050,45.653,
A,64,64,32,8,8,1,2.97740,46.161,
A,64,64,64,2,2,1,5.25439,26.157,
A,64,64,64,2,4,1,5.21822,26.338,
A,64,64,64,2,8,1,5.10448,26.925,
A,64,64,64,4,2,1,3.36252,40.874,
A,64,64,64,4,4,1,3.34121,41.135,
A,64,64,64,4,8,1,3.25533,42.220,
A,64,64,64,8,2,1,2.63659,52.128,
A,64,64,64,8,4,1,2.66892,51.496,
A,64,64,64,8,8,1,2.63247,52.209,
A,64,64,128,2,2,1,5.39174,25.491,
A,64,64,128,2,4,1,5.35466,25.667,
A,64,64,128,2,8,1,5.26298,26.114,
A,64,64,128,4,2,1,3.90254,35.218,
A,64,64,128,4,4,1,3.88273,35.397,
A,64,64,128,4,8,1,3.61997,37.967,
A,64,64,128,8,2,1,3.60306,38.145,
A,64,64,128,8,4,1,3.13192,43.883,
A,64,64,128,8,8,1,3.02117,45.492,
A,64,128,32,2,2,1,4.68063,29.363,
A,64,128,32,2,4,1,4.79679,28.652,
A,64,128,32,2,8,1,4.79130,28.685,
A,64,128,32,4,2,1,3.20935,42.825,
A,64,128,32,4,4,1,3.20133,42.932,
A,64,128,32,4,8,1,3.30958,41.528,
A,64,128,32,8,2,1,2.57221,53.432,
A,64,128,32,8,4,1,2.58536,53.161,
A,64,128,32,8,8,1,2.76317,49.740,
A,64,128,64,2,2,1,5.20337,26.413,
A,64,128,64,2,4,1,5.20166,26.422,
A,64,128,64,2,8,1,5.10956,26.898,
A,64,128,64,4,2,1,3.62888,37.874,
A,64,128,64,4,4,1,3.54919,38.724,
A,64,128,64,4,8,1,3.53862,38.840,
A,64,128,64,8,2,1,2.96175,46.405,
A,64,128,64,8,4,1,2.79152,49.234,
