variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,1.44628,47.515,
A,64,64,32,2,4,1,1.48189,46.373,
A,64,64,32,2,8,1,1.47156,46.698,
A,64,64,32,4,2,1,1.47310,46.649,
A,64,64,32,4,4,1,1.46120,47.030,
A,64,64,32,4,8,1,1.50067,45.793,
A,64,64,32,8,2,1,1.51086,45.484,
A,64,64,32,8,4,1,1.51374,45.397,
A,64,64,32,8,8,1,1.51540,45.347,
A,64,64,64,2,2,1,1.27972,53.699,
A,64,64,64,2,4,1,1.29882,52.909,
A,64,64,64,2,8,1,1.28888,53.317,
A,64,64,64,4,2,1,1.30186,52.786,
A,64,64,64,4,4,1,1.31186,52.383,
A,64,64,64,4,8,1,1.31083,52.424,
A,64,64,64,8,2,1,1.28153,53.623,
A,64,64,64,8,4,1,1.32290,51.946,
A,64,64,64,8,8,1,1.29322,53.138,
A,64,64,128,2,2,1,1.43506,47.886,
A,64,64,128,2,4,1,1.44639,47.511,
A,64,64,128,2,8,1,1.47089,46.720,
A,64,64,128,4,2,1,1.40943,48.757,
A,64,64,128,4,4,1,1.40334,48.969,
A,64,64,128,4,8,1,1.44282,47.628,
A,64,64,128,8,2,1,1.49661,45.917,
A,64,64,128,8,4,1,1.44516,47.551,
A,64,64,128,8,8,1,1.43359,47.935,
A,64,128,32,2,2,1,1.25210,54.883,
A,64,128,32,2,4,1,1.25696,54.671,
A,64,128,32,2,8,1,1.29410,53.102,
A,64,128,32,4,2,1,1.26146,54.476,
A,64,128,32,4,4,1,1.26896,54.154,
A,64,128,32,4,8,1,1.25432,54.786,
A,64,128,32,8,2,1,1.25847,54.605,
A,64,128,32,8,4,1,1.28081,53.653,
A,64,128,32,8,8,1,1.28004,53.685,
A,64,128,64,2,2,1,1.43557,47.869,
A,64,128,64,2,4,1,1.43524,47.880,
A,64,128,64,2,8,1,1.43683,47.827,
A,64,128,64,4,2,1,1.31393,52.301,
A,64,128,64,4,4,1,1.31063,52.433,
A,64,128,64,4,8,1,1.43960,47.735,
A,64,128,64,8,2,1,1.27599,53.856,
A,64,128,64,8,4,1,1.30131,52.808,
A,64,128,64,8,8,1,1.42415,48.253,
A,64,128,128,2,2,1,1.28262,53.578,
A,64,128,128,2,4,1,1.27648,53.835,
A,64,128,128,2,8,1,1.27459,53.915,
A,64,128,128,4,2,1,1.24993,54.979,
A,64,128,128,4,4,1,1.24681,55.116,
A,64,128,128,4,8,1,1.26428,54.355,
A,64,128,128,8,2,1,1.27515,53.891,
A,64,128,128,8,4,1,1.25641,54.695,
A,64,128,128,8,8,1,1.29950,52.882,
A,64,256,32,2,2,1,1.28564,53.452,
A,64,256,32,2,4,1,1.39285,49.337,
A,64,256,32,2,8,1,2.51370,27.338,
A,64,256,32,4,2,1,1.34499,51.093,
A,64,256,32,4,4,1,1.30321,52.731,
A,64,256,32,4,8,1,2.52465,27.219,
A,64,256,32,8,2,1,1.28179,53.612,
A,64,256,32,8,4,1,1.36537,50.330,
A,64,256,32,8,8,1,2.47559,27.759,
A,64,256,64,2,2,1,1.11832,61.449,
A,64,256,64,2,4,1,1.13517,60.537,
A,64,256,64,2,8,1,2.05505,33.439,
A,64,256,64,4,2,1,1.10155,62.384,
A,64,256,64,4,4,1,1.12877,60.880,
A,64,256,64,4,8,1,2.05566,33.429,
A,64,256,64,8,2,1,1.11101,61.853,
A,64,256,64,8,4,1,1.12141,61.280,
A,64,256,64,8,8,1,2.06556,33.269,
A,128,64,32,2,2,1,1.28060,53.662,
A,128,64,32,2,4,1,1.27975,53.697,
