variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,2.80157,24.529,
A,64,64,32,2,4,1,2.80797,24.473,
A,64,64,32,2,8,1,3.16819,21.690,
A,64,64,32,4,2,1,1.90631,36.049,
A,64,64,32,4,4,1,1.90639,36.047,
A,64,64,32,4,8,1,1.82399,37.675,
A,64,64,32,8,2,1,1.56390,43.941,
A,64,64,32,8,4,1,1.51682,45.305,
A,64,64,32,8,8,1,1.55246,44.265,
A,64,64,64,2,2,1,2.74791,25.008,
A,64,64,64,2,4,1,2.72530,25.215,
A,64,64,64,2,8,1,2.72826,25.188,
A,64,64,64,4,2,1,1.65344,41.561,
A,64,64,64,4,4,1,1.70418,40.324,
A,64,64,64,4,8,1,1.59594,43.059,
A,64,64,64,8,2,1,1.36264,50.431,
A,64,64,64,8,4,1,1.31378,52.307,
A,64,64,64,8,8,1,1.36102,50.491,
A,64,64,128,2,2,1,2.78547,24.671,
A,64,64,128,2,4,1,2.80596,24.491,
A,64,64,128,2,8,1,2.80159,24.529,
A,64,64,128,4,2,1,1.99218,34.495,
A,64,64,128,4,4,1,1.95188,35.207,
A,64,64,128,4,8,1,1.81199,37.925,
A,64,64,128,8,2,1,1.83218,37.507,
A,64,64,128,8,4,1,1.59828,42.996,
A,64,64,128,8,8,1,1.47482,46.595,
A,64,128,32,2,2,1,2.66848,25.752,
A,64,128,32,2,4,1,2.71471,25.314,
A,64,128,32,2,8,1,2.72224,25.244,
A,64,128,32,4,2,1,1.58659,43.313,
A,64,128,32,4,4,1,1.59970,42.958,
A,64,128,32,4,8,1,1.72449,39.849,
A,64,128,32,8,2,1,1.57505,43.630,
A,64,128,32,8,4,1,1.32325,51.932,
A,64,128,32,8,8,1,1.43690,47.825,
A,64,128,64,2,2,1,3.14021,21.884,
A,64,128,64,2,4,1,2.76670,24.838,
A,64,128,64,2,8,1,2.89084,23.771,
A,64,128,64,4,2,1,2.30118,29.863,
A,64,128,64,4,4,1,1.84235,37.300,
A,64,128,64,4,8,1,1.83201,37.510,
A,64,128,64,8,2,1,1.73071,39.706,
A,64,128,64,8,4,1,1.44302,47.622,
A,64,128,64,8,8,1,1.71716,40.019,
A,64,128,128,2,2,1,2.72916,25.180,
A,64,128,128,2,4,1,2.72241,25.242,
A,64,128,128,2,8,1,2.94936,23.300,
A,64,128,128,4,2,1,1.62305,42.340,
A,64,128,128,4,4,1,1.63013,42.156,
A,64,128,128,4,8,1,1.74664,39.344,
A,64,128,128,8,2,1,1.31612,52.213,
A,64,128,128,8,4,1,1.30947,52.479,
A,64,128,128,8,8,1,1.42542,48.210,
A,64,256,32,2,2,1,2.80078,24.536,
A,64,256,32,2,4,1,2.80845,24.469,
A,64,256,32,2,8,1,2.80066,24.537,
A,64,256,32,4,2,1,2.12039,32.409,
A,64,256,32,4,4,1,1.82001,37.758,
A,64,256,32,4,8,1,2.22082,30.943,
A,64,256,32,8,2,1,1.73807,39.538,
A,64,256,32,8,4,1,1.54255,44.549,
A,64,256,32,8,8,1,1.84574,37.231,
A,64,256,64,2,2,1,2.71038,25.354,
A,64,256,64,2,4,1,2.71427,25.318,
A,64,256,64,2,8,1,2.72696,25.200,
A,64,256,64,4,2,1,1.64430,41.793,
A,64,256,64,4,4,1,1.63048,42.147,
A,64,256,64,4,8,1,1.90429,36.087,
A,64,256,64,8,2,1,1.18777,57.856,
A,64,256,64,8,4,1,1.30862,52.513,
A,64,256,64,8,8,1,1.60224,42.890,
A,128,64,32,2,2,1,1.79738,38.233,
A,128,64,32,2,4,1,1.78069,38.591,
A,128,64,32,2,8,1,1.77044,38.815,
A,128,64,32,4,2,1,1.44042,47.708,
A,128,64,32,4,4,1,1.44247,47.640,
A,128,64,32,4,8,1,1.35638,50.664,
A,128,64,32,8,2,1,1.27260,53.999,
A,128,64,32,8,4,1,1.33498,51.476,
A,128,64,32,8,8,1,1.26655,54.257,
A,128,64,64,2,2,1,2.11121,32.550,
A,128,64,64,2,4,1,2.07862,33.060,
A,128,64,64,2,8,1,2.13789,32.144,
A,128,64,64,4,2,1,1.64696,41.725,
A,128,64,64,4,4,1,1.71187,40.143,
A,128,64,64,4,8,1,1.66420,41.293,
A,128,64,64,8,2,1,1.57460,43.643,
A,128,64,64,8,4,1,1.55885,44.084,
A,128,64,64,8,8,1,1.62925,42.179,
A,128,64,128,2,2,1,1.62585,42.267,
A,128,64,128,2,4,1,1.62018,42.415,
A,128,64,128,2,8,1,1.61909,42.443,
A,128,64,128,4,2,1,1.29729,52.972,
A,128,64,128,4,4,1,1.29888,52.907,
A,128,64,128,4,8,1,1.33268,51.565,
A,128,64,128,8,2,1,1.25569,54.727,
A,128,64,128,8,4,1,1.24549,55.175,
A,128,64,128,8,8,1,1.22715,55.999,
A,128,128,32,2,2,1,2.57128,26.726,
A,128,128,32,2,4,1,2.54122,27.042,
A,128,128,32,2,8,1,2.55221,26.925,
A,128,128,32,4,2,1,1.72509,39.835,
A,128,128,32,4,4,1,1.69736,40.486,
A,128,128,32,4,8,1,1.95541,35.143,
A,128,128,32,8,2,1,1.49388,46.001,
A,128,128,32,8,4,1,1.56457,43.922,
A,128,128,32,8,8,1,1.83320,37.486,
A,128,128,64,2,2,1,1.62026,42.413,
A,128,128,64,2,4,1,1.62940,42.175,
A,128,128,64,2,8,1,1.63274,42.088,
A,128,128,64,4,2,1,1.22463,56.114,
A,128,128,64,4,4,1,1.23142,55.805,
A,128,128,64,4,8,1,1.27715,53.807,
A,128,128,64,8,2,1,1.13793,60.390,
A,128,128,64,8,4,1,1.14404,60.067,
A,128,128,64,8,8,1,1.17342,58.563,
A,128,256,32,2,2,1,5.10332,13.466,
A,128,256,32,2,4,1,5.09901,13.477,
A,128,256,32,2,8,1,5.05296,13.600,
A,128,256,32,4,2,1,5.08850,13.505,
A,128,256,32,4,4,1,5.10621,13.458,
A,128,256,32,4,8,1,5.06307,13.573,
A,128,256,32,8,2,1,5.08492,13.514,
A,128,256,32,8,4,1,5.06043,13.580,
A,128,256,32,8,8,1,5.07064,13.552,
A,128,256,64,2,2,1,21.37954,3.214,
A,128,256,64,2,4,1,21.62928,3.177,
A,128,256,64,2,8,1,21.34228,3.220,
A,128,256,64,4,2,1,21.28022,3.229,
A,128,256,64,4,4,1,21.24377,3.235,
A,128,256,64,4,8,1,21.56590,3.186,
A,128,256,64,8,2,1,21.33627,3.221,
A,128,256,64,8,4,1,21.36468,3.216,
A,128,256,64,8,8,1,21.36138,3.217,
A,256,64,32,2,2,1,1.95650,35.124,
A,256,64,32,2,4,1,1.91422,35.900,
A,256,64,32,2,8,1,1.92840,35.636,
A,256,64,32,4,2,1,1.61471,42.559,
A,256,64,32,4,4,1,1.62341,42.330,
A,256,64,32,4,8,1,1.69222,40.609,
A,256,64,32,8,2,1,2.44533,28.102,
A,256,64,32,8,4,1,2.38426,28.822,
A,256,64,32,8,8,1,2.63355,26.094,
A,256,64,64,2,2,1,1.55081,44.312,
A,256,64,64,2,4,1,1.53167,44.866,
A,256,64,64,2,8,1,1.55584,44.169,
A,256,64,64,4,2,1,1.26528,54.312,
A,256,64,64,4,4,1,1.29171,53.200,
A,256,64,64,4,8,1,1.29228,53.177,
A,256,64,64,8,2,1,2.27618,30.191,
A,256,64,64,8,4,1,2.21418,31.036,
A,256,64,64,8,8,1,2.29777,29.907,
A,256,128,32,2,2,1,5.90736,11.633,
A,256,128,32,2,4,1,6.03530,11.386,
A,256,128,32,2,8,1,6.02317,11.409,
A,256,128,32,4,2,1,6.00951,11.435,
A,256,128,32,4,4,1,6.00195,11.450,
A,256,128,32,4,8,1,5.96510,11.520,
A,256,128,32,8,2,1,11.51432,5.968,
A,256,128,32,8,4,1,11.51271,5.969,
A,256,128,32,8,8,1,11.48554,5.983,
A,256,128,64,2,2,1,16.68473,4.119,
A,256,128,64,2,4,1,16.52416,4.159,
A,256,128,64,2,8,1,16.54385,4.154,
A,256,128,64,4,2,1,16.57041,4.147,
A,256,128,64,4,4,1,16.54884,4.153,
A,256,128,64,4,8,1,16.60645,4.138,
A,256,128,64,8,2,1,32.95901,2.085,
A,256,128,64,8,4,1,32.90739,2.088,
A,256,128,64,8,8,1,32.89144,2.089,
B,64,64,32,2,2,1,5.13966,13.370,
B,64,64,32,2,4,1,3.72500,18.448,
B,64,64,32,2,8,1,2.46071,27.927,
B,64,64,32,4,2,1,5.07677,13.536,
B,64,64,32,4,4,1,3.97450,17.290,
B,64,64,32,4,8,1,3.11944,22.029,
B,64,64,32,8,2,1,5.08648,13.510,
B,64,64,32,8,4,1,4.16827,16.486,
B,64,64,32,8,8,1,3.16786,21.693,
B,64,64,64,2,2,1,5.14044,13.368,
B,64,64,64,2,4,1,3.65608,18.796,
B,64,64,64,2,8,1,2.26142,30.388,
B,64,64,64,4,2,1,5.03884,13.638,
B,64,64,64,4,4,1,3.93465,17.465,
B,64,64,64,4,8,1,2.83804,24.214,
B,64,64,64,8,2,1,5.06820,13.559,
B,64,64,64,8,4,1,3.95044,17.395,
B,64,64,64,8,8,1,2.85365,24.081,
